source,source_entry,date_day,date_month,date_year,actor_id,actor_fullname,WikidataID,actor_first_name,actor_surname,role,status,phase
BRGA818,00001599A,00,00,1599,5912,Bartholomeus Van der Meren,,Bartholomeus,Van der Meren,member,dean,start
BRGA818,00001599A,00,00,1599,5913,Jan Van Ponberghe,,Jan,Van Ponberghe,member,dean,start
BRGA818,00001599A,00,00,1599,6930,Carel Van den Steen,,Carel,Van den Steen,glazier,dean,start
BRGA818,00001599B,00,00,1599,5917,Antoon Van Schelle,,Antoon,Van Schelle,painter,master,start
BRGA818,00001599C,00,00,1599,5936,Abraham Gyoryns,,Abraham,Gyoryns,member,master’s son,start
BRGA818,00001599C,00,00,1599,5937,Jan Gyoryns,,Jan,Gyoryns,member,master,start
BRGA818,00001599D,00,00,1599,5938,Nicolaes Van Zeunen,,Nicolaes,Van Zeunen,member,apprentice,start
BRGA818,00001599D,00,00,1599,5940,Fernand Bert,,Fernand,Bert,painter,teacher,start
BRGA818,00001599E,00,00,1599,5943,Francois De Sainctsaule,,Francois,De Sainctsaule,member,apprentice,start
BRGA818,00001599E,00,00,1599,5945,Denys Van Alsloot,,Denys,Van Alsloot,painter,teacher,start
BRGA818,00001599F,00,00,1599,5947,Philips Britseels,,Philips,Britseels,painter,apprentice,start
BRGA818,00001599F,00,00,1599,5948,Francois De Godts,,Francois,De Godts,painter,teacher,start
BRGA818,00001600A,00,00,1600,5962,Carel Lambrechts,,Carel,Lambrechts,member,dean,start
BRGA818,00001600A,00,00,1600,6085,Hieronymus Van Orley,,Hieronymus,Van Orley,member,dean,start
BRGA818,00001600A,00,00,1600,6955,Nicolaes Van Rillaert,,Nicolaes,Van Rillaert,glazier,dean,start
BRGA818,00001600B,00,00,1600,5983,Philips Matthys,,Philips,Matthys,member,apprentice,start
BRGA818,00001600B,00,00,1600,5985,Jacques De Vries,,Jacques,De Vries,member,teacher,start
BRGA818,00001600C,00,00,1600,5912,Bartholomeus Van der Meren,,Bartholomeus,Van der Meren,member,teacher,start
BRGA818,00001600C,00,00,1600,5988,Christoffel Regybus,,Christoffel,Regybus,member,apprentice,start
BRGA818,00001600D,00,00,1600,5962,Carel Lambrechts,,Carel,Lambrechts,member,teacher,start
BRGA818,00001600D,00,00,1600,5990,Willem Van Gent,,Willem,Van Gent,member,apprentice,start
BRGA818,00001600E,00,00,1600,5993,Francois De Streu,,Francois,De Streu,member,apprentice,start
BRGA818,00001600E,00,00,1600,5995,Peter Noveliers,,Peter,Noveliers,painter,teacher,start
BRGA818,00001600F,00,00,1600,6261,Jan Gotemans,,Jan,Gotemans,goldsmith,teacher,start
BRGA818,00001600F,00,00,1600,6854,Daniel Ficquaert,,Daniel,Ficquaert,member,apprentice,start
BRGA818,00001600G,00,00,1600,5962,Carel Lambrechts,,Carel,Lambrechts,member,teacher,start
BRGA818,00001600G,00,00,1600,6304,Joris Storm,,Joris,Storm,painter,apprentice,start
BRGA818,00001601,00,00,1601,5962,Carel Lambrechts,,Carel,Lambrechts,member,dean,start
BRGA818,00001601,00,00,1601,6085,Hieronymus Van Orley,,Hieronymus,Van Orley,member,dean,start
BRGA818,00001601,00,00,1601,6955,Nicolaes Van Rillaert,,Nicolaes,Van Rillaert,glazier,dean,start
BRGA818,00001602A,00,00,1602,3002,Jan Van Bronckhorst,Q2424907,Jan,Van Bronckhorst,member,dean,start
BRGA818,00001602A,00,00,1602,6023,Lenard Wauwermans,,Lenard,Wauwermans,painter,dean,start
BRGA818,00001602A,00,00,1602,6039,Jacques De Fayter,,Jacques,De Fayter,glazier,dean,start
BRGA818,00001602B,00,00,1602,6080,Antoon Waelrant,,Antoon,Waelrant,member,apprentice,start
BRGA818,00001602B,00,00,1602,6081,Gilbert Van Weenen,,Gilbert,Van Weenen,member,teacher,start
BRGA818,00001603A,00,00,1603,5929,Philips Van Bentem,,Philips,Van Bentem,painter,dean,start
BRGA818,00001603A,00,00,1603,5933,Nicolaes Mertens,,Nicolaes,Mertens,member,dean,start
BRGA818,00001603A,00,00,1603,6255,Cornelis De Bloyer,,Cornelis,De Bloyer,painter,dean,start
BRGA818,00001603B,00,00,1603,6104,Jan Baptist Grondone,,Jan Baptist,Grondone,painter,apprentice,start
BRGA818,00001603B,00,00,1603,6106,Gillis Claessens,,Gillis,Claessens,painter,teacher,start
BRGA818,00001603C,00,00,1603,5912,Bartholomeus Van der Meren,,Bartholomeus,Van der Meren,member,teacher,start
BRGA818,00001603C,00,00,1603,6116,Hans Clunebris,,Hans,Clunebris,member,apprentice,start
BRGA818,00001604A,00,00,1604,6045,Adriaen Van Zinnick,,Adriaen,Van Zinnick,goldsmith,teacher,start
BRGA818,00001604A,00,00,1604,6112,Aert Bleter,,Aert,Bleter,member,apprentice,start
BRGA818,00001604B,00,00,1604,6023,Lenard Wauwermans,,Lenard,Wauwermans,painter,teacher,start
BRGA818,00001604B,00,00,1604,6121,Adriaen Berckay,,Adriaen,Berckay,member,apprentice,start
BRGA818,00001604C,00,00,1604,2809,Peter Van der Borcht,,Peter,Van der Borcht,painter,apprentice,start
BRGA818,00001604C,00,00,1604,5945,Denys Van Alsloot,,Denys,Van Alsloot,painter,teacher,start
BRGA818,00001604D,00,00,1604,5929,Philips Van Bentem,,Philips,Van Bentem,painter,dean,start
BRGA818,00001604D,00,00,1604,5933,Nicolaes Mertens,,Nicolaes,Mertens,member,dean,start
BRGA818,00001604D,00,00,1604,6255,Cornelis De Bloyer,,Cornelis,De Bloyer,painter,dean,start
BRGA818,00001604E,00,00,1604,6106,Gillis Claessens,,Gillis,Claessens,painter,teacher,start
BRGA818,00001604E,00,00,1604,6163,Antoon Sammori,,Antoon,Sammori,member,apprentice,start
BRGA818,00001605,00,00,1605,6036,Willem Van Worms,,Willem,Van Worms,painter,dean,start
BRGA818,00001605,00,00,1605,6065,Francois Tons,,Francois,Tons,painter,dean,start
BRGA818,00001605,00,00,1605,6842,Jan De Kemp,,Jan,De Kemp,glazier,dean,start
BRGA818,00001606,00,00,1606,6039,Jacques De Fayter,,Jacques,De Fayter,glazier,dean,start
BRGA818,00001606,00,00,1606,6045,Adriaen Van Zinnick,,Adriaen,Van Zinnick,goldsmith,dean,start
BRGA818,00001606,00,00,1606,6955,Nicolaes Van Rillaert,,Nicolaes,Van Rillaert,glazier,dean,start
BRGA818,00001607,00,00,1607,6039,Jacques De Fayter,,Jacques,De Fayter,glazier,dean,start
BRGA818,00001607,00,00,1607,6132,Jan Mattheus,,Jan,Mattheus,painter,dean,start
BRGA818,00001607,00,00,1607,6255,Cornelis De Bloyer,,Cornelis,De Bloyer,painter,dean,start
BRGA818,00001608,00,00,1608,6367,Jan Van Botbergh,,Jan,Van Botbergh,member,dean,start
BRGA818,00001608,00,00,1608,6629,Jan Trippaert,,Jan,Trippaert,painter,dean,start
BRGA818,00001608,00,00,1608,6930,Carel Van den Steen,,Carel,Van den Steen,glazier,dean,start
BRGA818,00001609,00,00,1609,6039,Jacques De Fayter,,Jacques,De Fayter,glazier,dean,start
BRGA818,00001609,00,00,1609,6053,Wouter Jacobs,,Wouter,Jacobs,glazier,dean,start
BRGA818,00001609,00,00,1609,6261,Jan Gotemans,,Jan,Gotemans,goldsmith,dean,start
BRGA818,00001610A,00,00,1610,5925,Antoon Van der Meren,,Antoon,Van der Meren,painter,dean,start
BRGA818,00001610A,00,00,1610,5979,Hans Mennens,,Hans,Mennens,glazier,dean,start
BRGA818,00001610A,00,00,1610,6036,Willem Van Worms,,Willem,Van Worms,painter,dean,start
BRGA818,00001610B,00,00,1610,2821,David Noveliers,,David,Noveliers,painter,teacher,start
BRGA818,00001610B,00,00,1610,6754,Carel Herssel,,Carel,Herssel,painter,apprentice,start
BRGA818,00001611A,00,00,1611,5945,Denys Van Alsloot,,Denys,Van Alsloot,painter,teacher,start
BRGA818,00001611A,00,00,1611,6129,Willem De Moy,,Willem,De Moy,painter,apprentice,start
BRGA818,00001611B,00,00,1611,5933,Nicolaes Mertens,,Nicolaes,Mertens,member,dean,start
BRGA818,00001611B,00,00,1611,6367,Jan Van Botbergh,,Jan,Van Botbergh,member,dean,start
BRGA818,00001611B,00,00,1611,6776,Francois Van Schuddeput,,Francois,Van Schuddeput,member,dean,start
BRGA818,00001612,00,00,1612,6132,Jan Mattheus,,Jan,Mattheus,painter,dean,start
BRGA818,00001612,00,00,1612,6432,Augustyn Van der Venne,,Augustyn,Van der Venne,member,dean,start
BRGA818,00001612,00,00,1612,6842,Jan De Kemp,,Jan,De Kemp,glazier,dean,start
BRGA818,00001613,00,00,1613,6255,Cornelis De Bloyer,,Cornelis,De Bloyer,painter,dean,start
BRGA818,00001613,00,00,1613,6261,Jan Gotemans,,Jan,Gotemans,goldsmith,dean,start
BRGA818,00001613,00,00,1613,6930,Carel Van den Steen,,Carel,Van den Steen,glazier,dean,start
BRGA818,00001614,00,00,1614,5933,Nicolaes Mertens,,Nicolaes,Mertens,member,dean,start
BRGA818,00001614,00,00,1614,6472,Jacques Regaets,,Jacques,Regaets,painter,dean,start
BRGA818,00001614,00,00,1614,713,Gaspar De Craeyer,Q570172,Gaspar,De Craeyer,painter,dean,start
BRGA818,00001615,00,00,1615,5933,Nicolaes Mertens,,Nicolaes,Mertens,member,dean,start
BRGA818,00001615,00,00,1615,6036,Willem Van Worms,,Willem,Van Worms,painter,dean,start
BRGA818,00001615,00,00,1615,713,Gaspar De Craeyer,Q570172,Gaspar,De Craeyer,painter,dean,start
BRGA818,00001616,00,00,1616,2961,Jan Bauwens,,Jan,Bauwens,glazier,dean,start
BRGA818,00001616,00,00,1616,6045,Adriaen Van Zinnick,,Adriaen,Van Zinnick,goldsmith,dean,start
BRGA818,00001616,00,00,1616,6629,Jan Trippaert,,Jan,Trippaert,painter,dean,start
BRGA818,00001617,00,00,1617,6132,Jan Mattheus,,Jan,Mattheus,painter,dean,start
BRGA818,00001617,00,00,1617,6418,Maerten Heunis,,Maerten,Heunis,painter,dean,start
BRGA818,00001617,00,00,1617,6930,Carel Van den Steen,,Carel,Van den Steen,glazier,dean,start
BRGA818,00001618,00,00,1618,5925,Antoon Van der Meren,,Antoon,Van der Meren,painter,dean,start
BRGA818,00001618,00,00,1618,6053,Wouter Jacobs,,Wouter,Jacobs,glazier,dean,start
BRGA818,00001618,00,00,1618,6059,Michiel De Bordeaux,,Michiel,De Bordeaux,painter,dean,start
BRGA818,00001619,00,00,1619,472,Gillis Leyniers,,Gillis,Leyniers,member,dean,start
BRGA818,00001619,00,00,1619,5933,Nicolaes Mertens,,Nicolaes,Mertens,member,dean,start
BRGA818,00001619,00,00,1619,6432,Augustyn Van der Venne,,Augustyn,Van der Venne,member,dean,start
BRGA818,00001620,00,00,1620,2838,Gerard Van Hoochstadt,,Gerard,Van Hoochstadt,painter,dean,start
BRGA818,00001620,00,00,1620,2961,Jan Bauwens,,Jan,Bauwens,glazier,dean,start
BRGA818,00001620,00,00,1620,6629,Jan Trippaert,,Jan,Trippaert,painter,dean,start
BRGA818,00001621,00,00,1621,6132,Jan Mattheus,,Jan,Mattheus,painter,dean,start
BRGA818,00001621,00,00,1621,6582,Willem Maheu,,Willem,Maheu,painter,dean,start
BRGA818,00001621,00,00,1621,6930,Carel Van den Steen,,Carel,Van den Steen,glazier,dean,start
BRGA818,00001623,00,00,1623,2926,Jan De Paege,,Jan,De Paege,painter,dean,start
BRGA818,00001623,00,00,1623,6418,Maerten Heunis,,Maerten,Heunis,painter,dean,start
BRGA818,00001623,00,00,1623,6959,Gaspar Van Schoor,,Gaspar,Van Schoor,member,dean,start
BRGA818,00001624,00,00,1624,472,Gillis Leyniers,,Gillis,Leyniers,member,dean,start
BRGA818,00001624,00,00,1624,5933,Nicolaes Mertens,,Nicolaes,Mertens,member,dean,start
BRGA818,00001624,00,00,1624,6030,Dominicus Seghers,,Dominicus,Seghers,member,dean,start
BRGA818,00001625,00,00,1625,2902,Maximiliaen Van der Elst,,Maximiliaen,Van der Elst,painter,dean,start
BRGA818,00001625,00,00,1625,6457,Francois Van Obberghen,,Francois,Van Obberghen,painter,dean,start
BRGA818,00001625,00,00,1625,6930,Carel Van den Steen,,Carel,Van den Steen,glazier,dean,start
BRGA818,00001626,00,00,1626,2829,Antoon Van Opstal,,Antoon,Van Opstal,painter,dean,start
BRGA818,00001626,00,00,1626,6132,Jan Mattheus,,Jan,Mattheus,painter,dean,start
BRGA818,00001626,00,00,1626,6954,Jan Van Rillaert,,Jan,Van Rillaert,glazier,dean,start
BRGA818,00001628,00,00,1628,3146,Jan Vaillant,,Jan,Vaillant,goldsmith,dean,start
BRGA818,00001628,00,00,1628,5869,Cornelis Van Bronckhorst,,Cornelis,Van Bronckhorst,member,dean,start
BRGA818,00001628,00,00,1628,6418,Maerten Heunis,,Maerten,Heunis,painter,dean,start
BRGA818,00001629,00,00,1629,3146,Jan Vaillant,,Jan,Vaillant,goldsmith,dean,start
BRGA818,00001629,00,00,1629,5869,Cornelis Van Bronckhorst,,Cornelis,Van Bronckhorst,member,dean,start
BRGA818,00001629,00,00,1629,6418,Maerten Heunis,,Maerten,Heunis,painter,dean,start
BRGA818,00001630,00,00,1630,2838,Gerard Van Hoochstadt,,Gerard,Van Hoochstadt,painter,dean,start
BRGA818,00001630,00,00,1630,2926,Jan De Paege,,Jan,De Paege,painter,dean,start
BRGA818,00001630,00,00,1630,6053,Wouter Jacobs,,Wouter,Jacobs,glazier,dean,start
BRGA818,00001631,00,00,1631,5777,Jan Claerbodts,,Jan,Claerbodts,painter,dean,start
BRGA818,00001631,00,00,1631,6132,Jan Mattheus,,Jan,Mattheus,painter,dean,start
BRGA818,00001631,00,00,1631,6954,Jan Van Rillaert,,Jan,Van Rillaert,glazier,dean,start
BRGA818,00001633,00,00,1633,2915,Lucas De Kemp,,Lucas,De Kemp,glazier,dean,start
BRGA818,00001633,00,00,1633,3150,Carel Van den Steen,,Carel,Van den Steen,glazier,dean,start
BRGA818,00001633,00,00,1633,490,Antoon Sallaert,,Antoon,Sallaert,painter,dean,start
BRGA818,00001636,00,00,1636,2961,Jan Bauwens,,Jan,Bauwens,glazier,dean,start
BRGA818,00001636,00,00,1636,5777,Jan Claerbodts,,Jan,Claerbodts,painter,dean,start
BRGA818,00001636,00,00,1636,5786,Severyn Diertyts,,Severyn,Diertyts,painter,dean,start
BRGA818,00001637,00,00,1637,2854,Philips Van der Elst,,Philips,Van der Elst,painter,dean,start
BRGA818,00001637,00,00,1637,472,Gillis Leyniers,,Gillis,Leyniers,member,dean,start
BRGA818,00001637,00,00,1637,5869,Cornelis Van Bronckhorst,,Cornelis,Van Bronckhorst,member,dean,start
BRGA818,00001638,00,00,1638,2902,Maximiliaen Van der Elst,,Maximiliaen,Van der Elst,painter,dean,start
BRGA818,00001638,00,00,1638,2915,Lucas De Kemp,,Lucas,De Kemp,glazier,dean,start
BRGA818,00001638,00,00,1638,3146,Jan Vaillant,,Jan,Vaillant,goldsmith,dean,start
BRGA818,00001639,00,00,1639,2809,Peter Van der Borcht,,Peter,Van der Borcht,painter,dean,start
BRGA818,00001639,00,00,1639,2829,Antoon Van Opstal,,Antoon,Van Opstal,painter,dean,start
BRGA818,00001639,00,00,1639,3150,Carel Van den Steen,,Carel,Van den Steen,glazier,dean,start
BRGA818,00001640,00,00,1640,2786,Engel Van den Bosch,,Engel,Van den Bosch,glazier,dean,start
BRGA818,00001640,00,00,1640,5777,Jan Claerbodts,,Jan,Claerbodts,painter,dean,start
BRGA818,00001640,00,00,1640,6060,Gillis Van Blayenbergh,,Gillis,Van Blayenbergh,member,dean,start
BRGA818,00001641,00,00,1641,2838,Gerard Van Hoochstadt,,Gerard,Van Hoochstadt,painter,dean,start
BRGA818,00001641,00,00,1641,2961,Jan Bauwens,,Jan,Bauwens,glazier,dean,start
BRGA818,00001641,00,00,1641,6084,Peter Coppens,,Peter,Coppens,painter,dean,start
BRGA818,00001642,00,00,1642,2838,Gerard Van Hoochstadt,,Gerard,Van Hoochstadt,painter,dean,start
BRGA818,00001642,00,00,1642,2961,Jan Bauwens,,Jan,Bauwens,glazier,dean,start
BRGA818,00001642,00,00,1642,6084,Peter Coppens,,Peter,Coppens,painter,dean,start
BRGA818,00001643,00,00,1643,2976,Leo Van Heil,Q6524371,Leo,Van Heil,painter,dean,start
BRGA818,00001643,00,00,1643,5786,Severyn Diertyts,,Severyn,Diertyts,painter,dean,start
BRGA818,00001643,00,00,1643,6523,Willem Van Graenenbroeck,,Willem,Van Graenenbroeck,glazier,dean,start
BRGA818,00001644,00,00,1644,2854,Philips Van der Elst,,Philips,Van der Elst,painter,dean,start
BRGA818,00001644,00,00,1644,6161,Jan Noveliers,,Jan,Noveliers,painter,dean,start
BRGA818,00001644,00,00,1644,6954,Jan Van Rillaert,,Jan,Van Rillaert,glazier,dean,start
BRGA818,00001645,00,00,1645,2854,Philips Van der Elst,,Philips,Van der Elst,painter,dean,start
BRGA818,00001645,00,00,1645,6161,Jan Noveliers,,Jan,Noveliers,painter,dean,start
BRGA818,00001645,00,00,1645,6954,Jan Van Rillaert,,Jan,Van Rillaert,glazier,dean,start
BRGA818,00001646,00,00,1646,2826,Antoon Van den Bossche,,Antoon,Van den Bossche,glazier,dean,start
BRGA818,00001646,00,00,1646,2827,Jacques Nyts,,Jacques,Nyts,member,dean,start
BRGA818,00001646,00,00,1646,490,Antoon Sallaert,,Antoon,Sallaert,painter,dean,start
BRGA818,00001647,00,00,1647,2826,Antoon Van den Bossche,,Antoon,Van den Bossche,glazier,dean,start
BRGA818,00001647,00,00,1647,2827,Jacques Nyts,,Jacques,Nyts,member,dean,start
BRGA818,00001647,00,00,1647,490,Antoon Sallaert,,Antoon,Sallaert,painter,dean,start
BRGA818,00001648A,00,00,1648,3087,Albert Fierens,,Albert,Fierens,member,apprentice,start
BRGA818,00001648A,00,00,1648,3268,Peter [b] Van Gindertaelen,,Peter [b],Van Gindertaelen,painter,teacher,start
BRGA818,00001648B,00,00,1648,2935,Jacob Godsvriendt,,Jacob,Godsvriendt,glazier,dean,start
BRGA818,00001648B,00,00,1648,472,Gillis Leyniers,,Gillis,Leyniers,member,dean,start
BRGA818,00001648B,00,00,1648,512,Daniel Van Heil,,Daniel,Van Heil,painter,dean,start
BRGA818,00001649,00,00,1649,2786,Engel Van den Bosch,,Engel,Van den Bosch,glazier,dean,start
BRGA818,00001649,00,00,1649,2932,Jan Van Velthoven,,Jan,Van Velthoven,painter,dean,start
BRGA818,00001649,00,00,1649,5777,Jan Claerbodts,,Jan,Claerbodts,painter,dean,start
BRGA818,00001650,00,00,1650,3093,Jan Schoreels,,Jan,Schoreels,glazier,dean,start
BRGA818,00001650,00,00,1650,3177,Michiel Van Eeverenbroot,,Michiel,Van Eeverenbroot,painter,dean,start
BRGA818,00001650,00,00,1650,6161,Jan Noveliers,,Jan,Noveliers,painter,dean,start
BRGA818,00001651,00,00,1651,3093,Jan Schoreels,,Jan,Schoreels,glazier,dean,start
BRGA818,00001651,00,00,1651,3177,Michiel Van Eeverenbroot,,Michiel,Van Eeverenbroot,painter,dean,start
BRGA818,00001651,00,00,1651,6161,Jan Noveliers,,Jan,Noveliers,painter,dean,start
BRGA818,00001652A,00,00,1652,2906,Jan Jacobs,,Jan,Jacobs,glazier,dean,start
BRGA818,00001652A,00,00,1652,3021,Cornelis Kerckjans,,Cornelis,Kerckjans,painter,dean,start
BRGA818,00001652A,00,00,1652,5786,Severyn Diertyts,,Severyn,Diertyts,painter,dean,start
BRGA818,00001652B,00,00,1652,3175,Amatis Billaert,,Amatis,Billaert,member,apprentice,start
BRGA818,00001652B,00,00,1652,3177,Michiel Van Eeverenbroot,,Michiel,Van Eeverenbroot,painter,teacher,start
BRGA818,00001653A,00,00,1653,2196,Willem Van Schoor,Q18516541,Willem,Van Schoor,painter,teacher,start
BRGA818,00001653A,00,00,1653,3203,Andries De Brauwer,,Andries,De Brauwer,painter,apprentice,start
BRGA818,00001653B,00,00,1653,3205,Peter Hellinck,,Peter,Hellinck,painter,apprentice,start
BRGA818,00001653B,00,00,1653,512,Daniel Van Heil,,Daniel,Van Heil,painter,teacher,start
BRGA818,00001653C,00,00,1653,3209,Hieronymus De Vadder,,Hieronymus,De Vadder,painter,apprentice,start
BRGA818,00001653C,00,00,1653,3268,Peter [b] Van Gindertaelen,,Peter [b],Van Gindertaelen,painter,teacher,start
BRGA818,00001653D,00,00,1653,2866,Peter Meerts,,Peter,Meerts,painter,teacher,start
BRGA818,00001653D,00,00,1653,3213,Gerard Meysens,,Gerard,Meysens,painter,apprentice,start
BRGA818,00001653D,00,00,1653,5874,Jan Meysens,,Jan,Meysens,painter,teacher,former
BRGA818,00001653E,00,00,1653,3152,Joos Van Craesbeeck,,Joos,Van Craesbeeck,painter,teacher,start
BRGA818,00001653E,00,00,1653,3222,Lucas Viters,,Lucas,Viters,painter,apprentice,start
BRGA818,00001653F,00,00,1653,3153,Charles Wautier,,Charles,Wautier,painter,teacher,start
BRGA818,00001653F,00,00,1653,3225,Thomas Monnorino,,Thomas,Monnorino,painter,apprentice,start
BRGA818,00001653G,00,00,1653,3227,Ignatius Van der Stock,,Ignatius,Van der Stock,painter,apprentice,start
BRGA818,00001653G,00,00,1653,480,Louis De Vadder,,Louis,De Vadder,painter,teacher,start
BRGA818,00001653H,00,00,1653,2825,Steven Stekeldoore,,Steven,Stekeldoore,glazier,teacher,start
BRGA818,00001653H,00,00,1653,3229,Louis Reysels,,Louis,Reysels,glazier,apprentice,start
BRGA818,00001653I,00,00,1653,3038,Jan Baptist Sallaert,,Jan Baptist,Sallaert,panel beater,teacher,start
BRGA818,00001653I,00,00,1653,3230,Peter La Court,,Peter,La Court,panel beater,apprentice,start
BRGA818,00001653J,00,00,1653,2866,Peter Meerts,,Peter,Meerts,painter,teacher,start
BRGA818,00001653J,00,00,1653,3231,Jan Denens,,Jan,Denens,painter,apprentice,start
BRGA818,00001653K,00,00,1653,3233,Louis Hernese Janvier,,Louis Hernese,Janvier,member,apprentice,start
BRGA818,00001653K,00,00,1653,92,Francisco Martini,,Francisco,Martini,member,teacher,start
BRGA818,00001653L,00,00,1653,3236,Jacob Rubens,,Jacob,Rubens,painter,apprentice,start
BRGA818,00001653L,00,00,1653,5896,Peter Snayers,,Peter,Snayers,painter,teacher,start
BRGA818,00001653M,00,00,1653,2196,Willem Van Schoor,Q18516541,Willem,Van Schoor,painter,teacher,start
BRGA818,00001653M,00,00,1653,3238,Willem De Gyn,,Willem,De Gyn,painter,apprentice,start
BRGA818,00001653N,00,00,1653,2833,Alexander Van Avont,,Alexander,Van Avont,painter,teacher,start
BRGA818,00001653N,00,00,1653,3240,Antoon Stroobant,,Antoon,Stroobant,painter,apprentice,start
BRGA818,00001653O,00,00,1653,2829,Antoon Van Opstal,,Antoon,Van Opstal,painter,teacher,start
BRGA818,00001653O,00,00,1653,3242,Stefano Gillis,,Stefano,Gillis,painter,apprentice,start
BRGA818,00001653P,00,00,1653,2906,Jan Jacobs,,Jan,Jacobs,glazier,teacher,start
BRGA818,00001653P,00,00,1653,3243,Leyniers,,,Leyniers,glazier,apprentice,start
BRGA818,00001653Q,00,00,1653,3038,Jan Baptist Sallaert,,Jan Baptist,Sallaert,member,dean,start
BRGA818,00001653Q,00,00,1653,471,Daniel Leyniers,,Daniel,Leyniers,member,dean,start
BRGA818,00001653Q,00,00,1653,6954,Jan Van Rillaert,,Jan,Van Rillaert,glazier,dean,start
BRGA818,00001653R,00,00,1653,3038,Jan Baptist Sallaert,,Jan Baptist,Sallaert,member,teacher,start
BRGA818,00001653R,00,00,1653,3188,Hendrick Huysmans,,Hendrick,Huysmans,member,apprentice,start
BRGA818,00001654,00,00,1654,2935,Jacob Godsvriendt,,Jacob,Godsvriendt,glazier,dean,start
BRGA818,00001654,00,00,1654,3078,Christoffel Goffin,,Christoffel,Goffin,member,dean,start
BRGA818,00001654,00,00,1654,512,Daniel Van Heil,,Daniel,Van Heil,painter,dean,start
BRGA818,00001655,00,00,1655,2826,Antoon Van den Bossche,,Antoon,Van den Bossche,glazier,dean,start
BRGA818,00001655,00,00,1655,2827,Jacques Nyts,,Jacques,Nyts,member,dean,start
BRGA818,00001655,00,00,1655,5780,Jacques Antoon De Meester,,Jacques Antoon,De Meester,member,dean,start
BRGA818,00001656,00,00,1656,2826,Antoon Van den Bossche,,Antoon,Van den Bossche,glazier,dean,start
BRGA818,00001656,00,00,1656,2827,Jacques Nyts,,Jacques,Nyts,member,dean,start
BRGA818,00001656,00,00,1656,5777,Jan Claerbodts,,Jan,Claerbodts,painter,dean,start
BRGA818,00001656,00,00,1656,5780,Jacques Antoon De Meester,,Jacques Antoon,De Meester,member,dean,start
BRGA818,00001657,00,00,1657,3038,Jan Baptist Sallaert,,Jan Baptist,Sallaert,member,dean,start
BRGA818,00001657,00,00,1657,3107,Jan Van Opstal,,Jan,Van Opstal,painter,dean,start
BRGA818,00001657,00,00,1657,5773,Matthys Van den Bosch,,Matthys,Van den Bosch,glazier,dean,start
BRGA818,00001658,00,00,1658,3038,Jan Baptist Sallaert,,Jan Baptist,Sallaert,member,dean,start
BRGA818,00001658,00,00,1658,3107,Jan Van Opstal,,Jan,Van Opstal,painter,dean,start
BRGA818,00001658,00,00,1658,5773,Matthys Van den Bosch,,Matthys,Van den Bosch,glazier,dean,start
BRGA818,00001659,00,00,1659,3268,Peter [b] Van Gindertaelen,,Peter [b],Van Gindertaelen,painter,dean,start
BRGA818,00001659,00,00,1659,471,Daniel Leyniers,,Daniel,Leyniers,member,dean,start
BRGA818,00001659,00,00,1659,5333,Carel De Swert,,Carel,De Swert,glazier,dean,start
BRGA818,00001660,00,00,1660,2786,Engel Van den Bosch,,Engel,Van den Bosch,glazier,dean,start
BRGA818,00001660,00,00,1660,3036,Jan Arys,,Jan,Arys,painter,dean,start
BRGA818,00001660,00,00,1660,5777,Jan Claerbodts,,Jan,Claerbodts,painter,dean,start
BRGA818,00001661A,00,00,1661,3021,Cornelis Kerckjans,,Cornelis,Kerckjans,painter,dean,start
BRGA818,00001661A,00,00,1661,3138,Jan Cortois,,Jan,Cortois,goldsmith,dean,start
BRGA818,00001661A,00,00,1661,3179,Hendrick Van Bronckhorst,,Hendrick,Van Bronckhorst,glazier,dean,start
BRGA818,00001661B,00,00,1661,2809,Peter Van der Borcht,,Peter,Van der Borcht,painter,teacher,start
BRGA818,00001661B,00,00,1661,5695,Francois Van Elewyck,,Francois,Van Elewyck,member,apprentice,start
BRGA818,00001661D,00,00,1661,5490,Willem Piscador,,Willem,Piscador,goldsmith,teacher,start
BRGA818,00001661D,00,00,1661,5743,Coryn Haccadron,,Coryn,Haccadron,member,apprentice,start
BRGA818,00001662,00,00,1662,3021,Cornelis Kerckjans,,Cornelis,Kerckjans,painter,dean,start
BRGA818,00001662,00,00,1662,3138,Jan Cortois,,Jan,Cortois,goldsmith,dean,start
BRGA818,00001662,00,00,1662,3179,Hendrick Van Bronckhorst,,Hendrick,Van Bronckhorst,glazier,dean,start
BRGA818,00001663A,00,00,1663,3202,Matthys Van den Steen,,Matthys,Van den Steen,glazier,dean,start
BRGA818,00001663A,00,00,1663,3245,Gillis Van Tilborgh,,Gillis,Van Tilborgh,painter,dean,start
BRGA818,00001663A,00,00,1663,3510,Jan Raes,,Jan,Raes,goldsmith,dean,start
BRGA818,00001663B,00,00,1663,2938,Jan [b] Jacobs,,Jan [b],Jacobs,glazier,teacher,start
BRGA818,00001663B,00,00,1663,5604,Peter Van der Maelen,,Peter,Van der Maelen,glazier,apprentice,start
BRGA818,00001664A,00,00,1664,513,Lucas Achtschellinck,,Lucas,Achtschellinck,painter,teacher,start
BRGA818,00001664A,00,00,1664,5571,Francois Volders,,Francois,Volders,painter,apprentice,start
